Nombre;Categoria;Subcategoria;Color;Precio;Venta;Tallas;Referencia;Otros;
LIA;Niño;Botín;burdeos;39,99€;No;?;48088-C12922;Material principal:Sintetico$Altura:4 cm;
LIA;Niño;Botín;negro;39,99€;No;?;48088-C42697;Altura:4 cm;
LOLITA;Niño;Botín;negro;33,50€;No;?;47713-C50243;Altura:2 cm;
LOLITA;Niño;Botín;plata;33,50€;No;?;47713-C50255;Altura:2 cm;
SHIEL;Niño;Botín;blanco;44,99€;No;?;47947-C50721;Altura:2 cm;
ANGIE;Niño;Deportiva;azul;35,99€;No;?;48131V-C50148;Material principal:Textil$Altura:3 cm;
ASI;Niño;Deportiva;blanco;33,50€;No;?;48141-C19667;Material principal:Sintetico$Altura:1 cm;
CALIO;Niño;Deportiva;azul;39,99€;No;?;48121-C50238;Altura:2 cm;
CALIO;Niño;Deportiva;negro;39,99€;No;?;48121-C50239;Altura:2 cm;
GASI;Niño;Deportiva;blanco;29,99€;No;?;48137-C19667;Material principal:Sintetico$Altura:1 cm;
GIEN;Niño;Deportiva;azul;35,99€;No;?;48131-C50148;Material principal:Textil$Altura:3 cm;
GIEN;Niño;Deportiva;kaki;35,99€;No;?;48131-C50147;Material principal:Textil$Altura:3 cm;
MARE;Niño;Deportivo;blanco;36,99€;No;?;48155-C43675;Material principal:Sintetico$Altura:3 cm;
MARINA;Niño;Deportiva;negro;36,99€;No;?;48156-C50199;Altura:3 cm;
MARINA;Niño;Deportiva;nude;36,99€;No;?;48156-C50200;Altura:3 cm;
MENTA;Niño;Deportiva;azul;35,99€;No;?;48133-C50203;Altura:2 cm;
MENTA;Niño;Deportiva;gris;35,99€;No;?;48132-C50204;Altura:2 cm;
MENTA;Niño;Deportiva;gris;35,99€;No;?;48133-C50204;Altura:2 cm;
MONDA;Niño;Deportiva;negro;35,99€;No;?;48150-C50205;Altura:2 cm;
MONDA;Niño;Deportiva;nude;35,99€;No;?;48150-C50206;Altura:2 cm;
RIZZY;Niño;Deportiva;azul;35,99€;No;?;48136-C50169;Altura:3 cm;
RIZZY;Niño;Deportiva;kaki;35,99€;No;?;48136-C50168;Altura:3 cm;
SIAGA;Niño;Deportiva;blanco;33,50€;No;?;48142-C19667;Material principal:Sintetico$Altura:1 cm;
TAXI;Niño;Deportiva;camel;35,99€;No;?;48134-C50210;Altura:1.50 cm;
