Nombre;Categoria;Subcategoria;Color;Precio;Venta;Tallas;Referencia;Otros;
LEXIA;Mujer;Deportivas;marron;45,90€;No;?;69426-C50043;Material principal:Sintetico$Altura:4.50 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cordones$Material del interior:Textil$Material de la planta:FOAM$Tipo de puntera:Redonda;
BIGGER-BK;Mujer;Deportiva;blanco;29,90€;No;?;69458-I222;Material principal:Textil$Altura:4 cm;
BIGGER-BK;Mujer;Deportiva;negro;29,90€;No;?;69458-C20462;Material principal:Textil$Altura:4 cm;
CARIER;Mujer;Deportiva;negro;49,90€;No;?;69465-C50097;Altura:5 cm;
LAMBY;Mujer;Deportiva;blanco;49,90€;No;?;69569-C50035;Material principal:Sintetico$Altura:7.50 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cordones$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda;
LARA;Mujer;Deportiva;gris;45,90€;No;?;69523-C50115;Material principal:Sintetico$Altura:4.50 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cordones$Material del interior:Textil$Material de la planta:Sintético$Tipo de puntera:Redonda;
ROSSI;Mujer;Deportiva;blanco;49,90€;No;?;69598-C50035;Material principal:Sintetico$Altura:5.50 cm$Material de la suela:De goma$Tipo de tacón:Cuña$Tipo de cierre:Cordones$Material del interior:Sintético$Material de la planta:FOAM$Tipo de puntera:Redonda;
LICE;Mujer;Deportiva;blanco;39,90€;No;?;69602-C19667;Material principal:Sintetico$Altura:4 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cordones$Material del interior:Sintético$Material de la planta:FOAM$Tipo de puntera:Redonda;
LICE;Mujer;Deportiva;negro;39,90€;No;?;69602-C49141;Material principal:Sintetico$Altura:4 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cordones$Material del interior:Sintético$Material de la planta:FOAM$Tipo de puntera:Redonda;
CELESTE;Mujer;Deportiva;negro;45,90€;No;?;69603-C13609;Material principal:Sintetico$Altura:3.50 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cordones$Material del interior:Textil$Material de la planta:Sintético$Tipo de puntera:Redonda;
SOMO;Mujer;Deportiva;negro;39,90€;No;?;69610-C50119;Material principal:Sintetico$Altura:5.50 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cordones$Material del interior:Textil$Material de la planta:FOAM$Tipo de puntera:Redonda;
SOMO;Mujer;Deportiva;rosa;39,90€;No;?;69610-C50124;Material principal:Sintetico$Altura:5.50 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cordones$Material del interior:Textil$Material de la planta:FOAM$Tipo de puntera:Redonda;
CAM;Mujer;Deportiva;beige;39,90€;No;?;69705-C27820;Material principal:Sintetico$Altura:2.50 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cordones$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda;
PERDANG;Mujer;Deportiva;negro;39,90€;No;?;69859-C13609;Material principal:Sintetico$Altura:2.50 cm$Material de la suela:Caucho$Tipo de tacón:Plano$Tipo de cierre:Cordones$Material del interior:Textil$Material de la planta:FOAM$Tipo de puntera:Redonda;
MAXI;Mujer;Deportiva;negro;36,90€;No;?;69947-C20291;Material principal:Sintetico$Altura:2.50 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cordones$Material del interior:Textil$Material de la planta:FOAM$Tipo de puntera:Redonda;
FRATA;Mujer;Mochila;negro;45,90€;No;?;FRATA-C50277;Base:15$Altura:20 cm$Ancho:30;
